Issue_id_Summary,Issue id,Summary,clean_summary,cluster
65779	getPost: Unable to find post with id,65779,getPost: Unable to find post with id,getpost unable find post id,10
65658	Rubrics: Unable to remove a moved Criterion Group without refreshing page,65658,Rubrics: Unable to remove a moved Criterion Group without refreshing page,rubric unable remove moved criterion group without refreshing page,17
65566	Best design/localization for PA System,65566,Best design/localization for PA System,best design localization pa system,10
65333	Date Picker missing scroll bars,65333,Date Picker missing scroll bars,date picker missing scroll bar,12
65158	Membership: Membership help link sends user to the incorrect help page,65158,Membership: Membership help link sends user to the incorrect help page,membership membership help link sends user incorrect help page,15
65062	CkEditor in sakaicontrib/bbb_tool not working with sakai 20,65062,CkEditor in sakaicontrib/bbb_tool not working with sakai 20,ckeditor sakaicontrib bbb_tool working sakai,10
64966	Calendar: Warn when subscribe on Merge External Calendars,64966,Calendar: Warn when subscribe on Merge External Calendars,calendar warn subscribe merge external calendar,0
64925	Webcomponents fails lit linting in various places. Custom element tags haven't been closed and too many inline event handlers are in use.,64925,Webcomponents fails lit linting in various places. Custom element tags haven't been closed and too many inline event handlers are in use.,webcomponents fails lit linting various place custom element tag closed many inline event handler use,10
64881	Update webcomponents to lit 2,64881,Update webcomponents to lit 2,update webcomponents lit,9
64617	webapi :: site info :: edit class rosters :: sui-table compatible api,64617,webapi :: site info :: edit class rosters :: sui-table compatible api,webapi site info edit class roster sui table compatible api,14
64601	send submissions data from assignments to sui-table,64601,send submissions data from assignments to sui-table,send submission data assignment sui table,17
64034	Fix library build errors,64034,Fix library build errors,fix library build error,10
63827	sui-table webcomponent,63827,sui-table webcomponent,sui table webcomponent,10
63762	Date Manager: Multiple issues with setting Samigo dates via Date Manager ,63762,Date Manager: Multiple issues with setting Samigo dates via Date Manager ,date manager multiple issue setting samigo date via date manager,12
63622	Lessons matching question type,63622,Lessons matching question type,lesson matching question type,1
63574	Hiearchy tests failing with HibernateQueryException: could not resolve property: node.id,63574,Hiearchy tests failing with HibernateQueryException: could not resolve property: node.id,hiearchy test failing hibernatequeryexception could resolve property node id,13
63474	Portal implementation,63474,Portal implementation,portal implementation,10
63415	Resources: Upload files -> Overwrite existing does not work with special characters in file name when multiple files are uploaded at one time,63415,Resources: Upload files -> Overwrite existing does not work with special characters in file name when multiple files are uploaded at one time,resource upload file overwrite existing work special character file name multiple file uploaded one time,5
54828	Dark Mode - Test & Quizzes markup text Instructions & Examples,54828,Dark Mode - Test & Quizzes markup text Instructions & Examples,dark mode test quiz markup text instruction example,13
63402	Quiz | 'Next' Button alignment,63402,Quiz | 'Next' Button alignment,quiz next button alignment,0
50474	Add LTI Advantage Post Verify Feature,50474,Add LTI Advantage Post Verify Feature,add lti advantage post verify feature,14
54755	Gradebook Classic JSF upgrade,54755,Gradebook Classic JSF upgrade,gradebook classic jsf upgrade,2
59036	Roster > Profile photos students opt to share only with connections still show,59036,Roster > Profile photos students opt to share only with connections still show,roster profile photo student opt share connection still show,18
46147	Sakai Grader unable to view/download multiple image files,46147,Sakai Grader unable to view/download multiple image files,sakai grader unable view download multiple image file,5
28502	Assignment | New grader feedback attachment,28502,Assignment | New grader feedback attachment,assignment new grader feedback attachment,6
46123	Performance tuning on tool.css,46123,Performance tuning on tool.css,performance tuning tool cs,10
10974	Move BBB to use permissions web component.,10974,Move BBB to use permissions web component.,move bbb use permission web component,10
54664	CLONE - Error when try adding a student on a blocked section/group,54664,CLONE - Error when try adding a student on a blocked section/group,clone error try adding student blocked section group,7
28422	Samigo is not properly styled when embedded in Lessons,28422,Samigo is not properly styled when embedded in Lessons,samigo properly styled embedded lesson,1
12882	Adding a Rubric after submissions,12882,Adding a Rubric after submissions,adding rubric submission,17
12591	Adding a Rubric after submissions,12591,Adding a Rubric after submissions,adding rubric submission,17
"46074	""T&Q: Matching when grading by question has the Spanish version of """"None of the above""""""",46074,"""T&Q: Matching when grading by question has the Spanish version of """"None of the above""""""",q matching grading question spanish version none,11
63190	Add feature to Protect LTI Launches,63190,Add feature to Protect LTI Launches,add feature protect lti launch,14
41658	T&Q: Question Pool: Rubric JS error when creating questions in question pool,41658,T&Q: Question Pool: Rubric JS error when creating questions in question pool,q question pool rubric j error creating question question pool,11
"11036	""Allow the disabling of the """"list all"""" function""",11036,"""Allow the disabling of the """"list all"""" function""",allow disabling list function,0
63125	Statistics: Error on log when clicking Date Range on User Activity page,63125,Statistics: Error on log when clicking Date Range on User Activity page,statistic error log clicking date range user activity page,12
50217	RWiki does not implement cleanup (replace) for import,50217,RWiki does not implement cleanup (replace) for import,rwiki implement cleanup replace import,10
"50212	""Section Info - """"Validation Error"""" and """"Conversion Error"""" message should be more descriptive for users""",50212,"""Section Info - """"Validation Error"""" and """"Conversion Error"""" message should be more descriptive for users""",section info validation error conversion error message descriptive user,3
41502	Avoid scanning input stream to find size before S3 upload,41502,Avoid scanning input stream to find size before S3 upload,avoid scanning input stream find size upload,10
"12069	""""""Lecturers in the courses this evaluation is assigned to can view results"""" should be editable""",12069,"""""""Lecturers in the courses this evaluation is assigned to can view results"""" should be editable""",lecturer course evaluation assigned view result editable,7
12284	Grouped items with mismatching scales,12284,Grouped items with mismatching scales,grouped item mismatching scale,10
12966	My Evaluations tab loading very slowly,12966,My Evaluations tab loading very slowly,evaluation tab loading slowly,3
50164	User cannot undo the view change selection after reorder,50164,User cannot undo the view change selection after reorder,user cannot undo view change selection reorder,18
41506	Test & Quizzes preview done button jumps to another site's lesson page's linked test,41506,Test & Quizzes preview done button jumps to another site's lesson page's linked test,test quiz preview done button jump another site lesson page linked test,13
28208	Forums > Anonymous Posting Feature Wording is Confusing,28208,Forums > Anonymous Posting Feature Wording is Confusing,forum anonymous posting feature wording confusing,2
23735	Attendance / Print page capital letters in last name display users out of order,23735,Attendance / Print page capital letters in last name display users out of order,attendance print page capital letter last name display user order,18
63081	Quizzes: Images are not importing correctly for question text for matching questions,63081,Quizzes: Images are not importing correctly for question text for matching questions,quiz image importing correctly question text matching question,11
37085	Content of the files in the Resources is not accessible with WebDAV in KDE,37085,Content of the files in the Resources is not accessible with WebDAV in KDE,content file resource accessible webdav kde,5
28203	Samigo: Font in Matching Question,28203,Samigo: Font in Matching Question,samigo font matching question,11
"41498	""Resources - rename """"Make Web Content Link"""" function to more user-friendly terminology""",41498,"""Resources - rename """"Make Web Content Link"""" function to more user-friendly terminology""",resource rename make web content link function user friendly terminology,15
23729	Quiz-Matrix of Choices: Statistics page needs better formatting,23729,Quiz-Matrix of Choices: Statistics page needs better formatting,quiz matrix choice statistic page need better formatting,16
58726	Auto created groups displays incorrectly if adding a new user to that group,58726,Auto created groups displays incorrectly if adding a new user to that group,auto created group display incorrectly adding new user group,7
54401	Error when trying to unzip a zip file,54401,Error when trying to unzip a zip file,error trying unzip zip file,5
23720	Assignments / Move grade field down,23720,Assignments / Move grade field down,assignment move grade field,6
63071	Hide individual lessons items via simple toggle,63071,Hide individual lessons items via simple toggle,hide individual lesson item via simple toggle,1
54391	T&Q Tests with Exceptions keep old dates when copied,54391,T&Q Tests with Exceptions keep old dates when copied,q test exception keep old date copied,12
58711	Gradebook: feature request: Options for additional TA permissions,58711,Gradebook: feature request: Options for additional TA permissions,gradebook feature request option additional ta permission,2
28172	Forums: Mark all as read displays console errors for Uncaught TypeError,28172,Forums: Mark all as read displays console errors for Uncaught TypeError,forum mark read display console error uncaught typeerror,2
58707	Add tool menu alerts to show activity for that tool,58707,Add tool menu alerts to show activity for that tool,add tool menu alert show activity tool,10
28168	Lessons: participants in non-administrator roles are able to access previously visited subpages after date restrictions are enabled for the top-level page,28168,Lessons: participants in non-administrator roles are able to access previously visited subpages after date restrictions are enabled for the top-level page,lesson participant non administrator role able access previously visited subpages date restriction enabled top level page,12
37052	Link does not work,37052,Link does not work,link work,10
28218	Hide External Tools tab within Site Info tabs from Instructor/Maintain role,28218,Hide External Tools tab within Site Info tabs from Instructor/Maintain role,hide external tool tab within site info tab instructor maintain role,14
45858	Radio Buttons in Multiple Choice Single Selection do not line up with answers in IE11,45858,Radio Buttons in Multiple Choice Single Selection do not line up with answers in IE11,radio button multiple choice single selection line answer ie,10
32626	Home - Preferences - Sites - Improve the Sites feature,32626,Home - Preferences - Sites - Improve the Sites feature,home preference site improve site feature,14
50125	Firefox console error for : XML Parsing Error: not well-formed,50125,Firefox console error for : XML Parsing Error: not well-formed,firefox console error xml parsing error well formed,3
"45855	""Gradebook > Settings > Statistics > Modify Language/Wording of """"Assignments""""""",45855,"""Gradebook > Settings > Statistics > Modify Language/Wording of """"Assignments""""""",gradebook setting statistic modify language wording assignment,6
32622	direct/grades/gradebook endpoint times out,32622,direct/grades/gradebook endpoint times out,direct grade gradebook endpoint time,2
54415	Reporting for rubric data,54415,Reporting for rubric data,reporting rubric data,17
"63043	""Add a selectable """"Term"""" drop-down to Admin Site Perms""",63043,"""Add a selectable """"Term"""" drop-down to Admin Site Perms""",add selectable term drop admin site perm,14
50113	Chrome: LTI Modal does not resize and has double scrollbars when clicking to add a learning app,50113,Chrome: LTI Modal does not resize and has double scrollbars when clicking to add a learning app,chrome lti modal resize double scrollbars clicking add learning app,14
23683	Attachments in comments sections,23683,Attachments in comments sections,attachment comment section,0
58739	Improve Default Message in Pop-Up when leaving Student Review Mode,58739,Improve Default Message in Pop-Up when leaving Student Review Mode,improve default message pop leaving student review mode,3
50109	Tests & Quizzes / Editing MC/MS to MC/SS grading issue,50109,Tests & Quizzes / Editing MC/MS to MC/SS grading issue,test quiz editing mc m mc s grading issue,13
12871	NullPointerException generating pdf report when instructions are null,12871,NullPointerException generating pdf report when instructions are null,nullpointerexception generating pdf report instruction null,20
37098	Resources - Trash - Suggestion to improve the instruction content,37098,Resources - Trash - Suggestion to improve the instruction content,resource trash suggestion improve instruction content,5
32624	Resources - Trash - Suggestion to improve the main heading,32624,Resources - Trash - Suggestion to improve the main heading,resource trash suggestion improve main heading,5
28210	Resources - Trash - Suggestion to improve the warning message when there are no deleted files,28210,Resources - Trash - Suggestion to improve the warning message when there are no deleted files,resource trash suggestion improve warning message deleted file,5
11903	My Template / Last Updated column not updated,11903,My Template / Last Updated column not updated,template last updated column updated,16
23693	Move Add Participants to Manage Participants,23693,Move Add Participants to Manage Participants,move add participant manage participant,14
58746	Move role descriptions to top of Manage Participants,58746,Move role descriptions to top of Manage Participants,move role description top manage participant,8
41461	Gradebook View Columns not accessible to low/no vision users,41461,Gradebook View Columns not accessible to low/no vision users,gradebook view column accessible low vision user,18
37095	Sign Up icons should be replaced with Action menu,37095,Sign Up icons should be replaced with Action menu,sign icon replaced action menu,10
28206	Lessons / opening html page with linked image does not display and causes logout,28206,Lessons / opening html page with linked image does not display and causes logout,lesson opening html page linked image display cause logout,1
45861	Import from Site(replace data) should remove tools,45861,Import from Site(replace data) should remove tools,import site replace data remove tool,14
28202	MathJax/LaTeX checkbox unchecked on Import from Site,28202,MathJax/LaTeX checkbox unchecked on Import from Site,mathjax latex checkbox unchecked import site,14
23686	Assignments / student previewing rubric on returned assignment clears out cells,23686,Assignments / student previewing rubric on returned assignment clears out cells,assignment student previewing rubric returned assignment clear cell,6
58734	Assignment by Student drop down refreshes page and moves focus,58734,Assignment by Student drop down refreshes page and moves focus,assignment student drop refreshes page move focus,6
28195	Reset-Pass > add ability to reset password for mutliple accounts tied to the same email address,28195,Reset-Pass > add ability to reset password for mutliple accounts tied to the same email address,reset pas add ability reset password mutliple account tied email address,10
32598	BasicLTI: Encrypted session is not returning a userEid ,32598,BasicLTI: Encrypted session is not returning a userEid ,basiclti encrypted session returning usereid,10
54410	Banner notifying Instructor that Site Import is complete,54410,Banner notifying Instructor that Site Import is complete,banner notifying instructor site import complete,14
32594	getting stackOverflowError in Lessons ,32594,getting stackOverflowError in Lessons ,getting stackoverflowerror lesson,1
28188	Fix Deep Links from the Rich Text Editor,28188,Fix Deep Links from the Rich Text Editor,fix deep link rich text editor,10
62972	Job Get Archives should not run by default OTB,62972,Job Get Archives should not run by default OTB,job get archive run default otb,15
58724	Publish Now in Course Site: Notification,58724,Publish Now in Course Site: Notification,publish course site notification,7
41432	Tools set to Invisible are visible after Import from Site,41432,Tools set to Invisible are visible after Import from Site,tool set invisible visible import site,14
50090	Notify Instructor when posting Announcement that tool is invisible/locked for students,50090,Notify Instructor when posting Announcement that tool is invisible/locked for students,notify instructor posting announcement tool invisible locked student,8
37067	Overview page should fallback to short_desc then title,37067,Overview page should fallback to short_desc then title,overview page fallback short_desc title,16
63019	Show warning when deleting linked Assignments,63019,Show warning when deleting linked Assignments,show warning deleting linked assignment,6
58715	Lessons: Not all items display when joining sections,58715,Lessons: Not all items display when joining sections,lesson item display joining section,1
12865	Response rate / link directs user to send eval notifications template,12865,Response rate / link directs user to send eval notifications template,response rate link directs user send eval notification template,18
"37058	""Assignments: Inconsistency between """"Inline and Attachments"""" and """"Attachments Only""""""",37058,"""Assignments: Inconsistency between """"Inline and Attachments"""" and """"Attachments Only""""""",assignment inconsistency inline attachment attachment,6
"41471	""Resources Tool - """"All site files"""" menu cannot be closed intuitively with keyboard""",41471,"""Resources Tool - """"All site files"""" menu cannot be closed intuitively with keyboard""",resource tool site file menu cannot closed intuitively keyboard,5
63003	Stacktrace in Signup caused by possible race condition,63003,Stacktrace in Signup caused by possible race condition,stacktrace signup caused possible race condition,0
54386	Dropbox WebDAV transfer does not show Student names in Windows 10,54386,Dropbox WebDAV transfer does not show Student names in Windows 10,dropbox webdav transfer show student name window,10
32566	Assignments - editing Announcement notification type doesn't change/add new notification in announcement,32566,Assignments - editing Announcement notification type doesn't change/add new notification in announcement,assignment editing announcement notification type change add new notification announcement,8
37033	Build atom level web components for button and checkbox,37033,Build atom level web components for button and checkbox,build atom level web component button checkbox,10
36994	Forums / can set same gradebook item to be graded by different rubrics,36994,Forums / can set same gradebook item to be graded by different rubrics,forum set gradebook item graded different rubric,2
28110	Required lessons page may still be visible to students,28110,Required lessons page may still be visible to students,required lesson page may still visible student,1
36990	Rubric does not function properly with Ratings with the same point value,36990,Rubric does not function properly with Ratings with the same point value,rubric function properly rating point value,17
32565	Add a Limit for Rubric Ratings,32565,Add a Limit for Rubric Ratings,add limit rubric rating,17
28161	Alert do not work for planned announcement,28161,Alert do not work for planned announcement,alert work planned announcement,8
54387	Improve Add button layout in Postem,54387,Improve Add button layout in Postem,improve add button layout postem,14
28157	Comment Window in Rubric is Unrestricted,28157,Comment Window in Rubric is Unrestricted,comment window rubric unrestricted,17
41452	Conditional Release is not displayed in resources,41452,Conditional Release is not displayed in resources,conditional release displayed resource,5
32557	Resources: Heading missing,32557,Resources: Heading missing,resource heading missing,5
23699	Unable to create tool (LTI 1.3 tool) in sites,23699,Unable to create tool (LTI 1.3 tool) in sites,unable create tool lti tool site,14
54374	Change Hidden/Course Grade Calculation Icons to buttons,54374,Change Hidden/Course Grade Calculation Icons to buttons,change hidden course grade calculation icon button,7
50068	Roster Profile Pictures won't Display Quickly,50068,Roster Profile Pictures won't Display Quickly,roster profile picture display quickly,18
37038	Browser console jquery error when selecting grade in forum topic posting,37038,Browser console jquery error when selecting grade in forum topic posting,browser console jquery error selecting grade forum topic posting,2
50117	Calendar Search Feature,50117,Calendar Search Feature,calendar search feature,0
45802	Instructor - SiteInfo/Confirming edits to page: ,45802,Instructor - SiteInfo/Confirming edits to page: ,instructor siteinfo confirming edits page,16
54364	Resources: Uploaded File thumbnail error message,54364,Resources: Uploaded File thumbnail error message,resource uploaded file thumbnail error message,5
50110	Instructor-Resources-Upload Files button text,50110,Instructor-Resources-Upload Files button text,instructor resource upload file button text,5
"41438	""Forum Settings/Forum Posting checkbox <title =""""Forumlocked"""">""",41438,"""Forum Settings/Forum Posting checkbox <title =""""Forumlocked"""">""",forum setting forum posting checkbox title forumlocked,2
23680	Remove Buttons that Don't Work,23680,Remove Buttons that Don't Work,remove button work,10
58676	Calendar Tool Alert for Overlapping Events,58676,Calendar Tool Alert for Overlapping Events,calendar tool alert overlapping event,13
37021	Calendar Default View Setting only Available for Professor,37021,Calendar Default View Setting only Available for Professor,calendar default view setting available professor,15
32602	MS Edge - Forums: Wide content causes horizontal scrollbars,32602,MS Edge - Forums: Wide content causes horizontal scrollbars,m edge forum wide content cause horizontal scrollbars,15
58673	Calendar Legend Difficult to read,58673,Calendar Legend Difficult to read,calendar legend difficult read,0
41430	Resources: Table text has low color contrast,41430,Resources: Table text has low color contrast,resource table text low color contrast,5
41473	Bulk or JoinSet group creation is not adding custom roles to the groups,41473,Bulk or JoinSet group creation is not adding custom roles to the groups,bulk joinset group creation adding custom role group,7
50085	External Gradebook item icon not aligned properly in student view,50085,External Gradebook item icon not aligned properly in student view,external gradebook item icon aligned properly student view,2
28108	Tests And Quizzes Invalid date error message even if the format is valid,28108,Tests And Quizzes Invalid date error message even if the format is valid,test quiz invalid date error message even format valid,12
23656	Lessons: Dynamic Time Delay Pre-Requisite,23656,Lessons: Dynamic Time Delay Pre-Requisite,lesson dynamic time delay pre requisite,1
50081	StoredConfigService: org.apache.commons.lang.IllegalClassException,50081,StoredConfigService: org.apache.commons.lang.IllegalClassException,storedconfigservice org apache common lang illegalclassexception,0
32567	Assignments / preview rubric on small screen does not allow scrolling,32567,Assignments / preview rubric on small screen does not allow scrolling,assignment preview rubric small screen allow scrolling,17
63005	upgrade HSQLDB 2.4.1,63005,upgrade HSQLDB 2.4.1,upgrade hsqldb,10
41459	Move Gradebook Classic REST endpoints to GBNG,41459,Move Gradebook Classic REST endpoints to GBNG,move gradebook classic rest endpoint gbng,2
32564	Question Pool - Added questions in the Test can be flagged,32564,Question Pool - Added questions in the Test can be flagged,question pool added question test flagged,11
23648	Lessons: Uncaught TypeError on index of pages,23648,Lessons: Uncaught TypeError on index of pages,lesson uncaught typeerror index page,1
54384	Webservice copy of template-based LTI (NOT instance-wide),54384,Webservice copy of template-based LTI (NOT instance-wide),webservice copy template based lti instance wide,16
36988	Console error in instructor gradebook for handsontable,36988,Console error in instructor gradebook for handsontable,console error instructor gradebook handsontable,2
12065	Excel and CSV result exports differ,12065,Excel and CSV result exports differ,excel csv result export differ,0
23651	T&Qs : Allow instructors to end 'In progress' submission,23651,T&Qs : Allow instructors to end 'In progress' submission,q allow instructor end progress submission,17
"36984	""Move """"Hide from Site Drawer"""" closer to work area in Preferences > Sites""",36984,"""Move """"Hide from Site Drawer"""" closer to work area in Preferences > Sites""",move hide site drawer closer work area preference site,14
54322	Lessons / Import / export issues with cc,54322,Lessons / Import / export issues with cc,lesson import export issue cc,1
"62936	""Gradebook """"Set Score for Empty Cell"""" process needs improvement""",62936,"""Gradebook """"Set Score for Empty Cell"""" process needs improvement""",gradebook set score empty cell process need improvement,0
45738	Accessibility Problem: Deleting a syllabus dialogue box calls it undefined. ,45738,Accessibility Problem: Deleting a syllabus dialogue box calls it undefined. ,accessibility problem deleting syllabus dialogue box call undefined,0
32524	Samigo- Clicking on “Part” links in Table of Contents gives confusing nav alert,32524,Samigo- Clicking on “Part” links in Table of Contents gives confusing nav alert,samigo clicking part link table content give confusing nav alert,15
36970	Hovering over the keyboard icon in gradebookng sometimes causes a scrollbar jitter,36970,Hovering over the keyboard icon in gradebookng sometimes causes a scrollbar jitter,hovering keyboard icon gradebookng sometimes cause scrollbar jitter,0
32521	Create a pre-configured Lesson as a Syllabus,32521,Create a pre-configured Lesson as a Syllabus,create pre configured lesson syllabus,1
36967	Roll-Up Jira for Re-Use Material from Existing Site Copying Method,36967,Roll-Up Jira for Re-Use Material from Existing Site Copying Method,roll jira use material existing site copying method,14
32518	My Worksite Setup > New > Re-Use Material Fails if LTI tool is Selected,32518,My Worksite Setup > New > Re-Use Material Fails if LTI tool is Selected,worksite setup new use material fails lti tool selected,10
28067	Add instructor's name to student details on assignments,28067,Add instructor's name to student details on assignments,add instructor name student detail assignment,6
23607	Error link to Hidden Lesson from another Lesson,23607,Error link to Hidden Lesson from another Lesson,error link hidden lesson another lesson,1
54295	Forums > Improve error message when failing to select destination topic,54295,Forums > Improve error message when failing to select destination topic,forum improve error message failing select destination topic,3
28063	Manage overview / removing widgets removes tool ,28063,Manage overview / removing widgets removes tool ,manage overview removing widget remove tool,10
23598	Edge: CSS console errors when creating gradebook items,23598,Edge: CSS console errors when creating gradebook items,edge cs console error creating gradebook item,2
36948	Assignments / View assignment by student -> unable to use prev/next buttons,36948,Assignments / View assignment by student -> unable to use prev/next buttons,assignment view assignment student unable use prev next button,6
45710	a11y improvements for blind people,45710,a11y improvements for blind people,ay improvement blind people,10
58585	Lombokise EntityBroker,58585,Lombokise EntityBroker,lombokise entitybroker,10
36964	Email > put attachment list at top of email,36964,Email > put attachment list at top of email,email put attachment list top email,0
54302	New Chat properties / instructions should be added to default.sakai.properties,54302,New Chat properties / instructions should be added to default.sakai.properties,new chat property instruction added default sakai property,10
58619	T&Q: Markup text for FITB does not work as the instructions state,58619,T&Q: Markup text for FITB does not work as the instructions state,q markup text fitb work instruction state,10
50010	TemplateAssesmentSubmission emails are not internationalized,50010,TemplateAssesmentSubmission emails are not internationalized,templateassesmentsubmission email internationalized,0
54271	Tests and quizzes tool: Exported Assessments do not include their Images,54271,Tests and quizzes tool: Exported Assessments do not include their Images,test quiz tool exported assessment include image,8
17760	Lessons 2.0 - Improving and Updating the Sakai Lessons Tool,17760,Lessons 2.0 - Improving and Updating the Sakai Lessons Tool,lesson improving updating sakai lesson tool,1
62898	Remove RSF from Polls.,62898,Remove RSF from Polls.,remove rsf poll,0
32445	RSS URL for Announcement tool does not work,32445,RSS URL for Announcement tool does not work,r url announcement tool work,8
"23597	""Assignments: Peer assessment should display """"No attachments submitted"""" under """"Reviewer Attachments"""" if none attached""",23597,"""Assignments: Peer assessment should display """"No attachments submitted"""" under """"Reviewer Attachments"""" if none attached""",assignment peer assessment display attachment submitted reviewer attachment none attached,6
36918	GBNG > Logic error when enabling/disabling drop/keep text fields,36918,GBNG > Logic error when enabling/disabling drop/keep text fields,gbng logic error enabling disabling drop keep text field,0
17756	EvalSys as a Mature Tool (Evaluation System),17756,EvalSys as a Mature Tool (Evaluation System),evalsys mature tool evaluation system,3
"17775	""""""Modernize"""" Forums tool""",17775,"""""""Modernize"""" Forums tool""",modernize forum tool,2
13153	Evalsys - assigning groups-hierarchy ,13153,Evalsys - assigning groups-hierarchy ,evalsys assigning group hierarchy,7
12703	CK Editor issues when editing an item on a template,12703,CK Editor issues when editing an item on a template,ck editor issue editing item template,16
27920	No Reset Button displayed when it is a fill in the blank question type,27920,No Reset Button displayed when it is a fill in the blank question type,reset button displayed fill blank question type,11
36764	Support @ style mention tags in chat,36764,Support @ style mention tags in chat,support style mention tag chat,0
32334	Would be nice to better visually distinguish my messages from others in chat,32334,Would be nice to better visually distinguish my messages from others in chat,would nice better visually distinguish message others chat,3
23447	Email link is missing in the submission status(Only in Internet Explorer),23447,Email link is missing in the submission status(Only in Internet Explorer),email link missing submission status internet explorer,17
62740	The UX for the drop-down isn't properly aligned,62740,The UX for the drop-down isn't properly aligned,ux drop properly aligned,10
32330	Certification Tool not awarding certificate based on Final Course Grade,32330,Certification Tool not awarding certificate based on Final Course Grade,certification tool awarding certificate based final course grade,7
